,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_name,GO,notes
TCONS_00004471,1122.180092,-0.302285605,0.083819479,-3.606388505,0.000310488,0.014891642,No Change,,,
TCONS_00001166,487.1684365,-0.300060055,0.08807799,-3.406754104,0.000657403,0.025956453,No Change,,,
TCONS_00000371,1093.641693,-0.29160501,0.093683222,-3.112670587,0.001854028,0.049125268,No Change,,,
TCONS_00000079,1415.135137,-0.288193106,0.078025772,-3.693563014,0.000221134,0.012143123,No Change,,,
TCONS_00000961,1955.202039,-0.287053986,0.076017136,-3.776174712,0.000159255,0.009732554,No Change,,,
TCONS_00003267,1322.000796,-0.281021925,0.088766225,-3.165865444,0.001546223,0.044049917,No Change,,,
TCONS_00001698,816.2471927,-0.275542622,0.066935371,-4.11654733,3.85E-05,0.003736443,No Change,,,
TCONS_00001707,983.6244386,-0.269008927,0.078327337,-3.434419425,0.000593825,0.024395651,No Change,,,
TCONS_00001435,747.10606,-0.268703272,0.061675651,-4.356715641,1.32E-05,0.001875924,No Change,,,
TCONS_00003123,621.2916325,-0.262288837,0.083354431,-3.14666938,0.001651416,0.046349737,No Change,,,
TCONS_00004044,18079.23594,-0.250533652,0.066705519,-3.755815963,0.000172778,0.010222816,No Change,,,
TCONS_00000195,576.5956977,-0.248976865,0.077451851,-3.214601859,0.001306256,0.038667207,No Change,,,
TCONS_00000934,694.3306125,-0.248846475,0.076673209,-3.245546616,0.001172254,0.036981075,No Change,,,
TCONS_00001997,1397.206356,-0.248698071,0.079225523,-3.139115532,0.001694586,0.047211671,No Change,,,
TCONS_00003660,1025.190106,-0.234427278,0.071533583,-3.277163917,0.001048555,0.0345476,No Change,,,
TCONS_00003831,3181.342709,-0.232064087,0.053743568,-4.317988142,1.57E-05,0.002130743,No Change,,,
TCONS_00003325,739.2589222,-0.230873701,0.054939768,-4.202305692,2.64E-05,0.003128412,No Change,,,
TCONS_00003728,1915.073925,-0.230690788,0.059635296,-3.868359927,0.00010957,0.007157934,No Change,,,
TCONS_00003682,1821.998597,-0.230429741,0.069637188,-3.309004095,0.000936285,0.031960204,No Change,,,
TCONS_00001783,1353.51066,-0.227349656,0.065409883,-3.475769209,0.00050939,0.021932732,No Change,,,
TCONS_00000726,5525.720224,-0.220745765,0.0544805,-4.051830776,5.08E-05,0.004096829,No Change,,,
TCONS_00003711,598.2201711,-0.215343697,0.062196947,-3.462287238,0.000535605,0.022802338,No Change,,,
TCONS_00002369,794.8793794,-0.208622603,0.062081215,-3.360478719,0.000778075,0.028020043,No Change,,,
TCONS_00003322,1447.688847,-0.194458729,0.059732406,-3.255497989,0.001131937,0.036657344,No Change,,,
TCONS_00000535,4244.880201,0.193966424,0.059054979,3.284505861,0.001021614,0.0345476,No Change,,,
TCONS_00002352,1566.163575,0.248524451,0.07672304,3.239241447,0.001198481,0.036981075,No Change,,,
TCONS_00001304,1212.268382,0.251835702,0.077635736,3.243811614,0.001179417,0.036981075,No Change,,,
TCONS_00003148,2171.231834,0.252389176,0.068670091,3.675387217,0.000237489,0.012673882,No Change,,,
TCONS_00002066,1315.230603,0.257767764,0.076354075,3.375952947,0.000735605,0.027872073,No Change,,,
TCONS_00003475,973.1891325,0.263998124,0.081522596,3.238342954,0.001202262,0.036981075,No Change,,,
TCONS_00000485,3746.740361,0.26698246,0.067836215,3.935692149,8.30E-05,0.006099532,No Change,,,
TCONS_00003525,3705.287742,0.282740567,0.082996574,3.406653455,0.000657646,0.025956453,No Change,,,
