"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCONS_00004180",2579.73184118675,-0.584386427742024,0.146409000406433,-3.9914651839693,6.5666329911136e-05,0.00507774947006723
"TCONS_00004183",997.996470481598,-0.732627062123843,0.178780007909299,-4.0979249899996,4.16870314550782e-05,0.00376076576626884
"TCONS_00004185",353.669009856901,-0.319551095449127,0.0821021976585556,-3.89211378699103,9.93746152537458e-05,0.0067476509861445
"TCONS_00004205",1817.98933051659,0.730382158537798,0.170014527837739,4.29599851157937,1.7390874873355e-05,0.00227220775500491
"TCONS_00004215",1123.2835056417,-0.591844185012889,0.112047289491472,-5.28209283507867,1.27716448371258e-07,4.03264685732248e-05
"TCONS_00004351",856.739047135497,-0.584889290294616,0.161105548492264,-3.63047266694667,0.00028290266421502,0.0141041867725093
"TCONS_00004375",9117.15491139744,-0.590579513643541,0.175646088680467,-3.36232658569424,0.000772886545853438,0.0280200427275923
"TCONS_00004391",7365.0776021428,-0.308714697554735,0.0971384658297825,-3.17808908054716,0.00148249195124114,0.0428790992614707
"TCONS_00004499",1883.13276633015,0.407211089649916,0.102357876627284,3.97830731808451,6.94076248338903e-05,0.00525970980991221
"TCONS_00004471",1122.18009205589,-0.30228560456598,0.0838194787272385,-3.60638850486846,0.000310488175164328,0.0148916417176916
"TCONS_00000048",411.806188207749,1.42965053332909,0.431989818746841,3.30945423083433,0.000934780479676862,0.0319602039764509
"TCONS_00000079",1415.13513675519,-0.288193106213568,0.0780257721766729,-3.69356301352604,0.000221133680846775,0.0121431234308468
"TCONS_00000195",576.595697718807,-0.24897686518388,0.077451851303172,-3.21460185902211,0.00130625561244259,0.0386672071526952
"TCONS_00000199",1304.82722468018,0.524026629795881,0.106204958599335,4.93410700128236,8.05182920053345e-07,0.000179461063769537
"TCONS_00001997",1397.20635639683,-0.248698070726825,0.0792255232897121,-3.13911553247033,0.00169458622083632,0.0472116705202119
"TCONS_00002015",185.626998935261,0.591942420613289,0.175203275091303,3.37860362658639,0.000728549687239784,0.0278720728555122
"TCONS_00002066",1315.23060280575,0.257767764239964,0.0763540749181847,3.37595294705841,0.000735604984310166,0.0278720728555122
"TCONS_00000337",2141.3056440583,0.419108139579698,0.126645320437393,3.30930616411431,0.000935275019793202,0.0319602039764509
"TCONS_00000371",1093.64169280461,-0.29160500952339,0.093683221964033,-3.11267058721938,0.00185402831513327,0.0491252677345452
"TCONS_00000378",1480.17469956197,-0.371228602090524,0.101823021418671,-3.64582190666024,0.000266538527708248,0.0138344449518706
"TCONS_00000382",636.852134390224,-0.410308688909379,0.121418651000814,-3.37928881211691,0.000726736185346812,0.0278720728555122
"TCONS_00000388",548.79798758547,-0.535552494120698,0.131747594776958,-4.06498877666314,4.80347734225558e-05,0.0040445279221792
"TCONS_00000399",2091.73521241962,0.420059894500818,0.122389216493385,3.43216425871573,0.00059878477242024,0.0243956505666698
"TCONS_00002144",398.566309541769,-0.475223791804526,0.132513847061958,-3.58621987317544,0.000335506105293032,0.0157085625123343
"TCONS_00000414",8308.0517805652,0.463736572426238,0.141440835304948,3.27866115486674,0.00104300791419957,0.0345476003158257
"TCONS_00002193",1410.77325878502,-0.660277167248254,0.154589146386141,-4.27117415862418,1.94446477848901e-05,0.00245585901523162
"TCONS_00000435",1768.13166356751,-0.55505779373457,0.155820055913787,-3.56217170170747,0.000367799697730667,0.0167902777674879
"TCONS_00000474",914.895904762195,-0.951473735486205,0.301414230901525,-3.1566981182022,0.00159566448813912,0.0451191995937248
"TCONS_00000485",3746.74036094849,0.266982460474655,0.0678362154312085,3.93569214876672,8.29572590372382e-05,0.00609953164185811
"TCONS_00000535",4244.8802011275,0.193966424384119,0.0590549789232497,3.28450586082175,0.00102161373344184,0.0345476003158257
"TCONS_00002311",455.787086462664,-0.416681632154873,0.124166542158227,-3.355828590474,0.000791275949288039,0.0280200427275923
"TCONS_00002313",521.861699289708,-0.46507559187428,0.122575577518379,-3.79419458011157,0.000148123483882362,0.00920065377754543
"TCONS_00002316",4761.77308348074,-0.642840573633025,0.17940753813995,-3.58313023130369,0.000339501235653442,0.0157085625123343
"TCONS_00000588",3413.63685366343,0.382828600526594,0.0936355597705586,4.08849588195621,4.34179253129989e-05,0.00380056957547356
"TCONS_00002348",1418.07484596196,-0.354547264275098,0.085387802884767,-4.15220034123103,3.29293788432091e-05,0.00363229264604221
"TCONS_00002352",1566.16357458363,0.248524450577037,0.0767230398407011,3.23924144680718,0.00119848071669702,0.0369810746101175
"TCONS_00002369",794.879379399068,-0.208622602547912,0.0620812152035902,-3.36047871910612,0.000778075246319308,0.0280200427275923
"TCONS_00002412",2025.73965434235,0.446779038027955,0.138231060209737,3.23211756713766,0.00122876489745181,0.0369810746101175
"TCONS_00000686",1238.83709248799,0.38007469922208,0.106083771647592,3.58277890500235,0.000339958333600267,0.0157085625123343
"TCONS_00003931",4172.32803528238,0.729396271922532,0.147334546090095,4.95061267896061,7.39802086646465e-07,0.000175194381643966
"TCONS_00000704",264.072754413334,1.41516939367796,0.36437469046804,3.88383010867239,0.000102823767461531,0.0068350746475744
"TCONS_00000708",1461.52313085847,-1.3847279221951,0.436627758380108,-3.1714152286892,0.00151698136181819,0.0435442604540084
"TCONS_00000721",11263.4839881592,0.326651175397661,0.100522732332804,3.24952543387108,0.00115597740558296,0.0369810746101175
"TCONS_00000726",5525.72022358515,-0.22074576534396,0.0544804996983608,-4.05183077552795,5.08184166857805e-05,0.00409682937920047
"TCONS_00000739",237.150467309117,-0.745670082930519,0.179828623658787,-4.14655947289782,3.37508541786074e-05,0.00363229264604221
"TCONS_00000746",368.471585481343,-0.714032759286065,0.197673354841323,-3.6121851620277,0.000303627633207336,0.0148916417176916
"TCONS_00000755",4572.45055776444,0.941379232693468,0.22150407004916,4.24994101681536,2.13826814497832e-05,0.00261351548429769
