"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCONS_00004265",480.741749675969,0.285912488359716,0.0803707061791191,3.55742162725949,0.000374512785669364,0.0259923954312141
"TCONS_00004271",818.979123927931,1.01659161070793,0.302763777805901,3.35770552896081,0.000785922907960008,0.0367589812277382
"TCONS_00004175",1729.01443184219,-0.469561622891681,0.134405696715114,-3.49361399380982,0.000476529489735906,0.0274697667558823
"TCONS_00004330",10011.9996936771,-0.572672104322294,0.168277095040352,-3.40314945527774,0.000666138314206887,0.0327587226057304
"TCONS_00004195",936.945941965959,0.2349678252893,0.0579181980486359,4.05689115348494,4.97302436692049e-05,0.00668716370339339
"TCONS_00004348",1572.04411632912,0.466762976467844,0.11319453030472,4.12354709376256,3.73082137680641e-05,0.00549104274344152
"TCONS_00004206",2179.17246867658,0.527666880822739,0.133562261341208,3.95071838050661,7.79169652525861e-05,0.00882307109162836
"TCONS_00004207",6045.86906221567,0.612703930648468,0.169646412512762,3.61165274038658,0.0003042518018219,0.0227371562429638
"TCONS_00004208",713.779807010838,0.479600492424502,0.148884829312013,3.22128516814443,0.00127617098420923,0.0477509890874115
"TCONS_00004209",222.514486406449,0.378725630585568,0.111220106510329,3.40519032456057,0.000661179556334905,0.0327587226057304
"TCONS_00004211",332.228693177768,0.28029213169862,0.0828377811300429,3.38362674464449,0.000715351812495385,0.0345860544850297
"TCONS_00004213",12372.0102670662,-0.59885757131607,0.186449315416191,-3.21190544454026,0.00131857766017984,0.0482621668558128
"TCONS_00004226",6416.47243754627,-0.191679460366364,0.0465263928919467,-4.11980057881388,3.79200453247507e-05,0.00549104274344152
"TCONS_00004251",3984.6218469349,-0.467308977208779,0.127227997035201,-3.67300427656254,0.000239715469984812,0.0188417159174949
"TCONS_00004428",631.005579342152,-1.52104211129094,0.445374538257327,-3.41519772828171,0.000637357263337502,0.0326493845731104
"TCONS_00004501",948.82436379137,0.367932893263194,0.114444878997146,3.21493540372714,0.00130473879110724,0.0482621668558128
"TCONS_00001874",6588.82594892022,-0.386541122950878,0.12062197477727,-3.2045663625109,0.00135266103576464,0.0489117683772711
"TCONS_00001891",2602.86916715886,-0.303402785730143,0.070738507011105,-4.28907533604735,1.79418512536768e-05,0.00335668634541614
"TCONS_00001895",1988.54014175162,-0.327705051709273,0.085519504907495,-3.83193345265207,0.000127140133733307,0.0113737660602704
"TCONS_00000056",1066.81769871337,-0.543634067704167,0.140140800180828,-3.87919911262601,0.000104800945575282,0.0107371064002485
"TCONS_00000065",4598.21556904892,0.299284717623909,0.090973871839379,3.28978762333341,0.00100263026871265,0.0418865829735004
"TCONS_00000200",18199.4725175276,0.493241738757868,0.151613197272323,3.25329026517343,0.00114076903259534,0.0444183344374582
"TCONS_00003973",14.5130257744518,-19.9037050602747,4.20854113936671,-4.72935974751331,2.2522898294757e-06,0.000931748492345352
"TCONS_00000291",3595.44736548029,-0.495605555439434,0.129489713210409,-3.82737395235496,0.000129517670683999,0.0113737660602704
"TCONS_00002154",316.752352186694,0.369942519261838,0.111063889596552,3.33089828391283,0.000865662275688543,0.0378692859304161
"TCONS_00002230",961.540584771442,0.818514684267779,0.24532887874315,3.3363976082275,0.000848716855725319,0.0376497796926397
"TCONS_00000478",5504.38126062354,1.61379293324949,0.427790663400877,3.77238932804203,0.000161691693318408,0.0133799876220982
"TCONS_00002269",728.0785085204,0.500471076621186,0.138814250556946,3.60532924114931,0.000311757429313239,0.0227371562429638
"TCONS_00000519",86294.6613035399,0.444208304740117,0.0918850633756153,4.83439079673097,1.33553994189094e-06,0.000638536485550745
"TCONS_00003896",19268.3516916266,0.349158624414719,0.106480779597306,3.27907652193366,0.00104147391080532,0.0422779456433518
"TCONS_00002342",1028.46237300043,-0.94627351431865,0.276368945680721,-3.42395022707018,0.000617179237149899,0.0322746454801234
"TCONS_00002352",1566.16357458363,-0.30647895667331,0.0799197324273309,-3.83483461924731,0.000125648808600086,0.0113737660602704
"TCONS_00002377",393.836194721793,1.35991181437025,0.376929336120727,3.6078693910274,0.000308721823761101,0.0227371562429638
"TCONS_00002408",134.05794732165,0.747388974559745,0.153748857671039,4.86110261813365,1.16733717726916e-06,0.000627881484223648
"TCONS_00000672",2385.41958727895,-0.304454891555829,0.0936630918813504,-3.25053215135694,0.0011518924298906,0.0444183344374582
"TCONS_00002417",1933.05961302753,-0.316185002132417,0.0867717036508965,-3.64387223978574,0.000268566769495001,0.0206364787345891
"TCONS_00000690",954.594941411095,1.3314458628293,0.256740428494421,5.18596105271449,2.14903721397285e-07,0.00023118267829313
"TCONS_00002435",2620.97237837453,-1.07321379450693,0.335845674056248,-3.1955564040619,0.0013956150115945,0.0492240278269765
"TCONS_00002436",1092.42635173286,-1.01996460909815,0.303282872370941,-3.36308015393183,0.000770779806358291,0.0364468737006563
"TCONS_00002451",1377.45146277166,0.287885546604351,0.0687127438017922,4.1896965639268,2.79327725921675e-05,0.00480778881856387
"TCONS_00002465",446.346222025773,0.481934322295082,0.1164355684372,4.13906445224265,3.48724978421547e-05,0.00549104274344152
"TCONS_00000760",1035.72871225777,-0.909842976383905,0.214517289550268,-4.24135032794501,2.22179028983006e-05,0.00398348484047448
"TCONS_00000765",1369.309642977,-1.09751400591861,0.274254012286107,-4.00181567726223,6.28582594551601e-05,0.00751330806765427
"TCONS_00000766",417.063327650636,-1.14745356944094,0.25940472249378,-4.42341048539877,9.71548965196509e-06,0.00232254177624477
"TCONS_00000767",2992.3024035921,-1.16544387691187,0.235441467094398,-4.95003658996311,7.41995303647914e-07,0.000526889642537286
"TCONS_00000768",1559.66743345135,-1.32259205841231,0.291488165948048,-4.5373782297839,5.6957898740609e-06,0.0015342146885108
"TCONS_00000769",1541.71289048017,-1.15429350139641,0.25097220077896,-4.59928827899563,4.23936797378017e-06,0.00138933882275892
"TCONS_00000770",2617.33328281741,-1.24628752990992,0.285710837578689,-4.36205899808288,1.28844112210802e-05,0.00264007721353849
"TCONS_00000771",485.136969161335,-1.45241419895802,0.295092853577023,-4.92188875925766,8.57129327855217e-07,0.000526889642537286
"TCONS_00000772",3444.06694093533,-1.00331643071746,0.2323544053859,-4.31804350363458,1.57418407224312e-05,0.0030789609376646
"TCONS_00000773",2220.59241675212,-1.27399652590333,0.277807098245401,-4.58590343425258,4.52027504499764e-06,0.00138933882275892
"TCONS_00000774",2332.43834064508,-1.10596142912479,0.25111497671549,-4.40420337962492,1.06173302257319e-05,0.00240454589270128
"TCONS_00000775",1967.40447151796,-0.833707907379606,0.259654217744672,-3.21083907136614,0.00132348029025933,0.0482621668558128
"TCONS_00000776",2404.33565915773,-0.792589217849503,0.231642954427345,-3.42159864006613,0.000622541383883394,0.0322746454801234
"TCONS_00000777",2204.0626149527,-0.735005724431086,0.218269196249941,-3.36742764008453,0.000758729345027299,0.0362756930183607
"TCONS_00002557",4814.55845787745,-0.617469773825233,0.139491221177995,-4.42658519016996,9.57365829588588e-06,0.00232254177624477
"TCONS_00002575",3990.20670285369,1.74154970493359,0.419585308500635,4.15064510041336,3.31539507466028e-05,0.00548697884856276
"TCONS_00002582",1602.29636948072,-0.422789550611195,0.0896122491182971,-4.71798838630945,2.38188087748056e-06,0.000931748492345352
"TCONS_00002586",5261.5189465938,-0.574975996415065,0.16233920047607,-3.5418185794245,0.000397378678864956,0.026717507111811
